folder,D_mm,H_mm,ER_guess,fft_f0_Hz,freq_mean_Hz,freq_diff_Hz
02_09_D_88mm_200mm,88,200,0.7,0.5833333333333333,0.6987307753865084,-0.11539744205317515
02_09_D_88mm_200mm,88,200,0.72,0.5734126984126983,1.2199718953340375,-0.6465591969213392
02_09_D_88mm_200mm,88,200,0.75,0.09814814814814814,1.2571565305721464,-1.1590083824239983
02_09_D_88mm_200mm,88,200,0.8,1.3055555555555554,1.1709406618223934,0.13461489373316193
02_09_D_88mm_200mm,88,200,0.85,1.375,1.3502195930832217,0.024780406916778297
03_09_D_88mm_350mm,88,350,0.6,0.7547619047619047,0.5815655780648171,0.17319632669708762
03_09_D_88mm_350mm,88,350,0.65,0.5888888888888889,1.085510215156614,-0.49662132626772515
03_09_D_88mm_350mm,88,350,0.7,2.148290598290598,1.2198183398332938,0.9284722584573044
03_09_D_88mm_350mm,88,350,0.71,1.85042735042735,1.6775039204709443,0.17292342995640575
03_09_D_88mm_350mm,88,350,0.72,2.4285714285714284,2.1481711525416265,0.2804002760298019
28_08_D_100mm_260mm,100,260,0.75,0.2857142857142857,0.584614979881937,-0.2989006941676513
28_08_D_100mm_260mm,100,260,0.9,0.24537037037037032,0.9398730377784154,-0.694502667408045
29_08_D_88mm_260mm,88,260,0.6,0.7125,0.7414422904554075,-0.028942290455407527
29_08_D_88mm_260mm,88,260,0.7,1.2537037037037038,1.1894534803010992,0.06425022340260456
29_08_D_88mm_260mm,88,260,0.75,2.368867243867243,1.4592552133111572,0.909612030556086
29_08_D_88mm_260mm,88,260,0.8,1.908466819221968,1.4143728532553048,0.4940939659666632
29_08_D_88mm_260mm,88,260,0.85,2.8885869565217392,1.6011351672701886,1.2874517892515507
