folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp,freq_resolution,ER_blow_off,U_blow_off_m_per_s,blowoff_dt_s
03_09_D_88mm_350mm,LBO_Sweep_1_8_39_29.mat,"ER1_0,65_Log1_03.09.2025_08.39.27.tdms",1,7,6,1.4016258392526717,0.9260553957253244,1.8846445475807032,1.12273280437478,0.2469465064477732,0.1355619837223195,0.2469465064477732,0.5619718309859156,9.130242825607063,0.008785
03_09_D_88mm_350mm,LBO_Sweep_2_8_46_19.mat,"ER1_0,65_Log2_03.09.2025_08.46.16.tdms",2,8,7,1.2878468286495877,0.7700902378192189,1.484315975247547,0.8080490679229717,0.2180207206892943,0.1163281526055138,0.2180207206892943,0.5537688442211055,9.298013245033111,0.160992
03_09_D_88mm_350mm,LBO_Sweep_1_8_47_59.mat,"ER1_0,71_Log1_04.09.2025_08.47.54.tdms",1,19,18,1.6941737740393843,0.5318250680782862,1.8979131906576356,0.3531338616068052,1.960274153250669,0.1067141273270541,0.1782067412046062,0.6457111834961998,21.713024282560703,0.132272
03_09_D_88mm_350mm,LBO_Sweep_3_8_52_36.mat,"ER1_0,65_Log3_03.09.2025_08.52.34.tdms",3,4,3,0.7343518793900472,0.2687409660581726,0.8485535556091086,0.2903725353444849,0.3585591658479565,0.1643515993402608,0.3585591658479565,0.5675483870967742,9.065121412803531,0.23484
03_09_D_88mm_350mm,LBO_Sweep_2_8_54_8.mat,"ER1_0,71_Log2_04.09.2025_08.54.05.tdms",2,22,21,1.7680022408165548,0.6345421957715773,2.086898451521349,0.4399105957424126,2.153143897682602,0.0796736430610266,0.1537959926916144,0.6421816227834498,21.929359823399558,0.082704
03_09_D_88mm_350mm,LBO_Sweep_3_9_0_6.mat,"ER1_0,71_Log3_04.09.2025_09.00.03.tdms",3,21,20,1.7165712553448664,0.5524665245532655,1.880679888377668,0.5237901658833709,2.064573506757508,0.0998140554549358,0.1588133466736544,0.6418367346938775,21.940397350993376,0.224015
03_09_D_88mm_350mm,LBO_Sweep_1_9_18_52.mat,"ER1_0,7_Log1_03.09.2025_09.18.49.tdms",1,16,15,1.2740988362636048,0.7338378687978221,1.4588977443981974,0.4834813405068721,0.1452897076771081,0.2014352503379838,0.1452897076771081,0.605685986793837,16.003311258278146,0.222862
03_09_D_88mm_350mm,LBO_Sweep_2_9_25_18.mat,"ER1_0,7_Log2_03.09.2025_09.25.15.tdms",2,17,16,1.0753351584459312,0.4929487908738613,1.4324527681791093,0.3948109173873218,0.1203100148462558,0.0609722554478459,0.1203100148462558,0.604102564102564,16.0242825607064,0.099901
03_09_D_88mm_350mm,LBO_Sweep_3_9_30_56.mat,"ER1_0,7_Log3_03.09.2025_09.30.53.tdms",3,16,15,1.09807942979517,0.5052434003867755,1.505838134447252,0.4378574799691715,0.1224406836108247,0.0643865392893113,0.1224406836108247,0.6112676056338027,15.847682119205299,0.077979
03_09_D_88mm_350mm,LBO_Sweep_1_9_48_47.mat,"ER1_0,72_Log1_03.09.2025_09.48.44.tdms",1,20,19,2.075713960935281,0.42469789962673,2.152166801535786,0.5358962070349397,1.8408521918413427,0.1627054495224323,0.2045391324268158,0.674324903557651,27.578366445916114,0.079348
