folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp,ER_blow_off,U_blow_off_m_per_s,blowoff_dt_s
01_09_D_120mm_260mm,LBO_Sweep_3_9_9_21.mat,ER1_0.7_log3_01.09.2025_09.09.18.tdms,3,2,1,1.466082188567491,0.0,1.466082188567491,0.0,0.589733912058879,0.2701421710778925,0.6307932263814616,13.206401766004415,0.219799
01_09_D_120mm_260mm,LBO_Sweep_2_9_27_6.mat,ER1_0.75_log2_01.09.2025_09.27.03.tdms,2,5,4,1.0740506935816612,0.7789382821129077,1.0994111970627358,0.325725764986493,0.3278043663541598,0.1997758733345491,0.6614979520187244,20.1766004415011,0.239969
03_09_D_88mm_350mm,LBO_Sweep_1_8_39_29.mat,"ER1_0,65_Log1_03.09.2025_08.39.27.tdms",1,5,4,1.1479046435612594,0.9063323254423872,1.428551818044784,0.7652077437493149,0.8484498820654663,0.1271008316673207,0.5619718309859156,9.130242825607063,0.008785
03_09_D_88mm_350mm,LBO_Sweep_2_8_46_19.mat,"ER1_0,65_Log2_03.09.2025_08.46.16.tdms",2,4,3,0.8572721827750016,0.1517196043660585,0.939294345729827,0.070428375854617,0.7859410858562041,0.1480294617363377,0.5537688442211055,9.298013245033111,0.160992
03_09_D_88mm_350mm,LBO_Sweep_1_8_47_59.mat,"ER1_0,71_Log1_04.09.2025_08.47.54.tdms",1,15,14,1.5660091888944894,0.3921067333638288,1.7923417143425002,0.3495384020079156,1.8791105543376132,0.1541811288676625,0.6457111834961998,21.713024282560703,0.132272
03_09_D_88mm_350mm,LBO_Sweep_3_8_52_36.mat,"ER1_0,65_Log3_03.09.2025_08.52.34.tdms",3,2,1,0.5130104582312015,0.0,0.5130104582312015,0.0,1.3807577598586105,0.1566418447390274,0.5675483870967742,9.065121412803531,0.23484
03_09_D_88mm_350mm,LBO_Sweep_2_8_54_8.mat,"ER1_0,71_Log2_04.09.2025_08.54.05.tdms",2,19,18,1.7609092239555657,0.5121719699553119,2.0022514133637457,0.510511631729548,2.1911804984935634,0.1428129909792123,0.6421816227834498,21.929359823399558,0.082704
03_09_D_88mm_350mm,LBO_Sweep_3_9_0_6.mat,"ER1_0,71_Log3_04.09.2025_09.00.03.tdms",3,17,16,1.7783490230028334,0.4392026208275461,2.000836117857375,0.4533299707653141,1.870930725671664,0.1611599781887029,0.6418367346938775,21.940397350993376,0.224015
03_09_D_88mm_350mm,LBO_Sweep_1_9_18_52.mat,"ER1_0,7_Log1_03.09.2025_09.18.49.tdms",1,11,10,1.2582573136206354,0.4043782889453607,1.4416478434989046,0.4502401502557024,1.7334427328302495,0.3660559837022571,0.605685986793837,16.003311258278146,0.222862
03_09_D_88mm_350mm,LBO_Sweep_2_9_25_18.mat,"ER1_0,7_Log2_03.09.2025_09.25.15.tdms",2,12,11,1.1203544883081331,0.4197080713699543,1.4651177441875116,0.3373007445900576,1.7197298877589624,0.066929298863428,0.604102564102564,16.0242825607064,0.099901
03_09_D_88mm_350mm,LBO_Sweep_3_9_30_56.mat,"ER1_0,7_Log3_03.09.2025_09.30.53.tdms",3,13,12,1.259504271713696,0.4480197802909377,1.6984393800484003,0.2189287399845857,1.7159919005182291,0.0870758483477725,0.6112676056338027,15.847682119205299,0.077979
03_09_D_88mm_350mm,LBO_Sweep_1_9_48_47.mat,"ER1_0,72_Log1_03.09.2025_09.48.44.tdms",1,20,19,2.075713960935281,0.42469789962673,2.152166801535786,0.5358962070349397,1.8408521918413427,0.2160018699127207,0.674324903557651,27.578366445916114,0.079348
03_09_D_88mm_350mm,LBO_Sweep_2_9_53_29.mat,"ER1_0,72_Log2_03.09.2025_09.53.27.tdms",2,16,15,2.1411485063490763,0.4311575649636986,2.32262679800347,0.4696129239693656,2.329011722692337,0.2467840940963077,0.6766451612903225,27.49006622516556,0.077787
03_09_D_88mm_350mm,LBO_Sweep_3_9_58_33.mat,"ER1_0,72_Log3_03.09.2025_09.58.30.tdms",3,16,15,1.9738517282058805,0.3373836321310073,2.0753949476585394,0.279748304070024,2.1948114656950963,0.2764498922765698,0.670755119453925,27.69867549668874,0.210632
28_08_D_100mm_260mm,LBO_Sweep_3_14_58_6.mat,"ER1_0,85_log3_28.08.2025_14.57.21.tdms",3,3,2,1.2633089598924672,0.2031577137138997,1.2794383253428876,0.2129817124980769,0.2338524858519245,0.1384638999936928,0.7707920792079208,45.79911699779249,0.095332
28_08_D_100mm_260mm,LBO_Sweep_1_15_31_5.mat,"ER1_0,9_log1_28.08.2025_15.30.38.tdms",1,5,4,0.8970218873340511,0.9895177095886684,0.7690588874827227,0.080863294398486,0.2037224159848756,0.0932839623387946,0.8214965685189285,54.16777041942604,0.088711
28_08_D_100mm_260mm,LBO_Sweep_3_15_53_6.mat,"ER1_0,9_log3_28.08.2025_15.52.13.tdms",3,2,1,1.193028419129972,0.0,1.193028419129972,0.0,0.1989432136490959,0.0611257050695847,0.8213365896980461,54.011037527593814,0.191734
28_08_D_100mm_260mm,LBO_Sweep_2_16_31_4.mat,"ER1_0,75_log2_28.08.2025_16.30.46.tdms",2,4,3,0.7120307806159588,0.6962800932944292,1.2274637652696494,0.7459598929066807,0.3705350526159774,0.0577273747262342,0.6563185378590077,22.597130242825603,0.17769
29_08_D_88mm_260mm,LBO_Sweep_2_12_41_26.mat,"ER1_0,7_log2_29.08.2025_12.41.22.tdms",2,6,5,0.9412838433899472,0.2248512239387125,1.109282028300003,0.0875537433153534,0.8285278716776032,0.5063444569362041,0.6044819985304923,15.977924944812361,0.241519
29_08_D_88mm_260mm,LBO_Sweep_3_12_46_37.mat,"ER1_0,7_log3_29.08.2025_12.46.34.tdms",3,10,9,1.2035731680212214,0.3692261373236136,1.4875927328119816,0.2678102490450579,1.587016092343176,0.3781492019467878,0.6045454545454545,16.013245033112586,0.039796
29_08_D_88mm_260mm,LBO_Sweep_2_13_12_55.mat,"ER1_0,75_log2_29.08.2025_13.12.53.tdms",2,10,9,1.2208044613078233,0.4972147832993212,1.362969747523484,0.6275035060095917,1.7142857142857142,0.2047032091382748,0.7298141155968633,40.92163355408388,0.172876
29_08_D_88mm_260mm,LBO_Sweep_3_13_19_5.mat,"ER1_0,75_log3_29.08.2025_13.19.02.tdms",3,7,6,1.309334397676717,0.3171335146309642,1.3703650654692283,0.3163184341300494,3.613674142956949,0.145417576091485,0.7247762056020792,41.13907284768212,0.193994
29_08_D_88mm_260mm,LBO_Sweep_1_13_48_21.mat,"ER1_0,8_log1_29.08.2025_13.48.18.tdms",1,14,13,1.4125186968580588,0.91604378462485,1.7726661963192358,1.2774585096217277,2.8544352214470843,0.2745917667651104,0.7786630891273916,51.18432671081678,0.054886
29_08_D_88mm_260mm,LBO_Sweep_3_14_2_7.mat,"ER1_0,8_log3_29.08.2025_14.02.04.tdms",3,9,8,1.1343337589920763,0.8509741948687286,1.5396345495282129,0.5133137232654119,3.1507640602846188,0.1852651312204843,0.7767086540704454,51.18653421633554,0.237831
29_08_D_88mm_260mm,LBO_Sweep_1_14_25_40.mat,"ER1_0,85_log1_29.08.2025_14.25.36.tdms",1,9,8,0.8302119095143737,0.9242079089903924,1.5284617838236303,1.2679711919500445,5.294774538873271,0.0514900202455271,0.8234482063683999,59.515452538631344,0.152063
29_08_D_88mm_260mm,LBO_Sweep_2_14_32_38.mat,"ER1_0,85_log2_29.08.2025_14.32.35.tdms",2,2,1,0.6962576153176675,0.0,0.6962576153176675,0.0,2.958229795290498,0.0960623574828984,0.8225796692214602,59.462472406181014,0.025456
29_08_D_88mm_260mm,LBO_Sweep_3_14_38_51.mat,"ER1_0,85_log3_29.08.2025_14.38.47.tdms",3,3,2,0.2663912536292478,0.072043490533207,0.2758007012918132,0.0755272625764523,5.5266175718805695,0.0180834046861745,0.8280327537403963,59.349889624724064,0.16512
29_08_D_88mm_260mm,LBO_Sweep_1_15_3_59.mat,"ER1_0,9_log1_29.08.2025_15.03.43.tdms",1,4,3,0.6067308291259922,0.5484274619782787,0.7108149066415702,0.5314563654541683,5.527138248801616,0.0201951058227515,0.8726345250993139,66.74061810154525,0.166786
